Time,Temp (C),Gas (Ohm),Humidity (%),PM 1.0: %d,PM 2.5: %d,PM 10: %d,Particles > 0.3um / 0.1L air,Particles > 0.5um / 0.1L air,Particles > 1.0um / 0.1L air,Particles > 2.5um / 0.1L air,Particles > 5.0um / 0.1L air,Particles > 10um / 0.1L air
1740007273.001709,15.7565625,105276,68.40833929068775,1,1,2,360,97,4,1,1,0
1740007274.0123472,15.7555859375,105408,68.42779747121392,1,1,2,360,97,4,1,1,0
1740007275.02299,15.755390625,105210,68.44083830121396,1,1,2,348,95,5,1,1,0
1740007276.033711,15.7575390625,105673,68.44115764790799,1,1,2,348,95,5,1,1,0
1740007277.0448592,15.761640625,105806,68.46137381493189,1,1,2,348,95,5,1,1,0
1740007278.055943,15.7628125,105872,68.46154805254149,1,1,1,246,72,4,1,1,0
1740007279.0671735,15.7657421875,106006,68.4815920694384,1,1,1,246,72,4,1,1,0
1740007280.078947,15.7708203125,105939,68.50849487578529,1,1,1,246,72,4,1,1,0
1740007281.0907898,15.776484375,105939,68.5224126505932,0,1,1,240,70,3,1,1,0
1740007282.1024938,15.7805859375,106006,68.5360989706548,0,1,1,240,70,3,1,1,0
1740007283.1143355,15.7837109375,106678,68.53656407155574,0,1,1,240,70,3,1,1,0
1740007284.1261556,15.7868359375,106476,68.5304910334377,0,0,1,228,65,2,1,1,0
1740007285.1379905,15.7907421875,106882,68.52453442170109,0,0,1,228,65,2,1,1,0
1740007286.149719,15.7969921875,106746,68.4993143971134,0,0,1,228,65,2,1,1,0
1740007287.1603818,15.803828125,107086,68.48725756644848,0,0,0,222,63,1,0,0,0
1740007288.1710262,15.8118359375,107223,68.50806074656973,0,0,0,222,63,1,0,0,0
1740007289.183331,15.820625,107223,68.50283145622596,0,0,0,222,63,1,0,0,0
1740007290.1939707,15.828828125,107634,68.53674241916573,0,1,1,243,70,2,0,0,0
1740007291.204627,15.835859375,108468,68.5247127720659,0,1,1,243,70,2,0,0,0
1740007292.2164445,15.8411328125,107842,68.51895991519442,0,1,1,243,70,2,0,0,0
1740007293.2282915,15.8462109375,107703,68.52625424374915,0,1,1,255,72,2,0,0,0
1740007294.2405586,15.8493359375,108398,68.55941360909169,0,1,1,255,72,2,0,0,0
1740007295.2512188,15.8503125,108678,68.51378886446352,0,1,1,255,72,2,0,0,0
1740007296.2618597,15.8516796875,107842,68.52706868713962,0,0,0,237,68,3,0,0,0
1740007297.2724361,15.8563671875,108328,68.55392189293111,0,0,0,237,68,3,0,0,0
1740007298.2830644,15.863203125,108678,68.56147970299129,0,0,0,237,68,3,0,0,0
