Time,Temp (C),Gas (Ohm),Humidity (%),PM 1.0: %d,PM 2.5: %d,PM 10: %d
1740615431.8200195,24.970625,48263,32.520298943197915,0,0,0
1740615432.8317597,24.971796875,49026,32.492277827921455,0,0,0
1740615433.8435953,24.9731640625,49784,32.45865587757508,0,0,0
1740615434.855159,24.9747265625,50081,32.41381480877037,0,0,0
1740615435.867173,24.974921875,50903,32.38010457008269,0,0,0
1740615436.8789978,24.9753125,51817,32.33518139082451,0,0,0
1740615437.89088,24.9762890625,52664,32.30717747881556,0,0,0
1740615438.9027617,24.9762890625,53131,32.27347407899386,0,0,0
1740615439.91453,24.976484375,53573,32.239796049426644,0,0,0
1740615440.9257493,24.976484375,54944,32.222951144785355,0,0,0
1740615441.9364142,24.9770703125,55823,32.200547028608156,0,0,0
1740615442.9471276,24.9790234375,56501,32.1726564399291,0,0,0
1740615443.957738,24.98,57470,32.15590699969002,0,0,0
1740615444.9684842,24.9809765625,57628,32.150382786295594,0,0,0
1740615445.9803371,24.9825390625,57907,32.122466352424674,0,0,0
1740615446.9920495,24.9841015625,59176,32.1113854172614,0,0,0
1740615448.0039172,24.985859375,59301,32.09471289257652,0,0,0
1740615449.0156522,24.9868359375,60501,32.08919084327508,0,0,0
1740615450.0275137,24.9872265625,61164,32.07800712962696,0,0,0
1740615451.039288,24.9868359375,61074,32.05553715315645,0,0,0
1740615452.0510979,24.987421875,62116,32.0499814928406,0,0,0
1740615453.062811,24.9872265625,63004,32.033140685119335,0,0,0
1740615454.0746672,24.985859375,62862,32.03301816435763,0,0,0
1740615455.0864737,24.98625,64113,32.033053170115835,0,0,0
1740615456.0983598,24.9868359375,65110,32.00507119551364,0,0,0
1740615457.1101947,24.9864453125,65518,32.01064267472503,0,0,0
1740615458.1219585,24.987421875,65110,31.999517410002483,0,0,0
1740615459.1338036,24.9872265625,66612,31.988288062269646,0,0,0
1740615460.1455407,24.9872265625,67039,31.977077066191274,0,0,0
1740615461.1575036,24.987421875,67798,31.971489367143562,0,0,0
1740615462.1692502,24.987421875,67908,31.971489367143562,0,0,0
1740615463.1810815,24.987421875,68519,31.960279661743563,0,0,0
1740615464.1928744,24.9872265625,69313,31.9546576655954,0,0,0
1740615465.204178,24.9856640625,70009,31.94891363786637,0,0,0
1740615466.2160435,24.9856640625,70421,31.93770570609434,0,0,0
1740615467.2277844,24.9848828125,70958,31.932032236855523,0,0,0
1740615468.2396595,24.9856640625,71260,31.920895428164187,0,0,0
1740615469.251405,24.9848828125,71687,31.920825621275842,0,0,0
1740615470.263233,24.9848828125,72368,31.909619869551655,0,0,0
1740615471.274994,24.9852734375,72305,31.904052205702182,0,0,0
1740615472.2869205,24.9852734375,73318,31.904052205702182,0,0,0
1740615473.2987082,24.985859375,73705,31.898502189352538,0,0,0
1740615474.310594,24.9856640625,74625,31.89848474774937,0,0,0
1740615475.3222795,24.9856640625,74959,31.8816790050573,0,0,0
1740615476.3343718,24.98625,75161,31.876129817048852,0,0,0
1740615477.3462284,24.98625,75841,31.876129817048852,0,0,0
1740615478.3580358,24.9864453125,76534,31.870545972003534,0,0,0
1740615479.3699415,24.9864453125,77027,31.85934406680198,0,0,0
1740615480.3818307,24.9864453125,77670,31.864944911420977,0,0,0
1740615481.3936925,24.985859375,78178,31.859291795368566,0,0,0
1740615482.4055495,24.98625,78105,31.848125606712532,0,0,0
1740615483.417414,24.9856640625,78471,31.85367375317821,0,0,0
1740615484.4292016,24.9852734375,78989,31.848038513520457,0,0,0
1740615485.4404814,24.98625,78840,31.831325672073948,0,0,0
1740615486.4523077,24.98625,79665,31.83692543432321,0,0,0
1740615487.4641507,24.98625,80276,31.83692543432321,0,0,0
1740615488.4751308,24.985859375,81368,31.82569130882293,0,0,0
1740615489.4865844,24.9856640625,81053,31.83127343902187,0,0,0
1740615490.4984906,24.984296875,81605,31.825552042343798,0,0,0
1740615491.5103223,24.9833203125,82408,31.83106450992425,0,0,0
1740615492.522164,24.983125,82408,31.819848304445237,0,0,0
1740615493.533955,24.983125,83476,31.82544759393589,0,0,0
1740615494.5457978,24.9837109375,83393,31.836699060169547,0,0,0
1740615495.5576222,24.9841015625,84063,31.814336245652786,0,0,0
1740615496.5698078,24.9837109375,84829,31.819900520837887,0,0,0
1740615497.5816727,24.984296875,84317,31.808754775828934,0,0,0
1740615498.5934868,24.9841015625,85001,31.80873737533052,0,0,0
1740615499.6053872,24.9841015625,85348,31.814336245652786,0,0,0
1740615500.616835,24.9852734375,85785,31.814440664473647,0,0,0
1740615501.6275449,24.9848828125,86315,31.808806977531425,0,0,0
1740615502.6382,24.9841015625,86404,31.80873737533052,0,0,0
1740615503.648922,24.982734375,86852,31.803016936314965,0,0,0
1740615504.6596136,24.9825390625,87305,31.8085981725868,0,0,0
1740615505.6706727,24.9837109375,88039,31.808702574437326,0,0,0
1740615506.6824934,24.9848828125,88598,31.820004954556126,0,0,0
1740615507.694183,24.9856640625,88975,31.803277905510097,0,0,0
1740615508.7060387,24.9856640625,89354,31.808876580285013,0,0,0
1740615509.7177756,24.985859375,89737,31.814492874350485,0,0,0
1740615510.7296903,24.985859375,89834,31.803295303732753,0,0,0
1740615511.7414765,24.9852734375,89930,31.80884177883913,0,0,0
1740615512.7533236,24.9856640625,90124,31.792081203851417,0,0,0
1740615513.7651246,24.984296875,90709,31.797557677972314,0,0,0
1740615514.7767377,24.983125,90906,31.803051731758643,0,0,0
1740615515.7886603,24.9817578125,91602,31.797331540540867,0,0,0
1740615516.8007863,24.981171875,92615,31.802877755921784,0,0,0
1740615517.8126569,24.981171875,92615,31.79727935580858,0,0,0
1740615518.8244023,24.9815625,92923,31.786117983054645,0,0,0
1740615519.836339,24.981171875,91904,31.786083203476032,0,0,0
1740615520.8482287,24.9821484375,93338,31.791768133626064,0,0,0
1740615521.8601432,24.9833203125,93442,31.79187248912483,0,0,0
1740615522.8723934,24.9837109375,93756,31.786309273205518,0,0,0
1740615523.8841825,24.9841015625,94072,31.791942060147903,0,0,0
